title	ver1	ver2
['網球傳奇納達爾社群發影片 感性宣布引退【聲明全文】', '納達爾將退休 喬科維奇讚成就永流傳、小蠻牛喊傷心']	西班牙網球傳奇納達爾（Rafael Nadal）於2024年10月10日透過社群平台宣布將在11月的台維斯盃決賽後退休，結束其輝煌的職業生涯。納達爾在影片中感性致謝對手、團隊、家人及球迷，並表示他的網球生涯是夢想成真。納達爾的退休消息震撼網壇，塞爾維亞前球王喬科維奇（Novak Djokovic）讚揚其成就將永垂不朽，西班牙新生代好手艾卡拉茲（Carlos Alcaraz）則表示納達爾一直是他的偶像。納達爾的退休標誌著一個時代的結束，網壇眾多好手紛紛向這位傳奇選手致敬。	西班牙網球傳奇納達爾（Rafael Nadal）於2024年10月10日透過社群平台宣布，將在11月的台維斯盃決賽後退休，結束其輝煌的職業生涯。納達爾在影片中感謝對手、團隊、家人及球迷，並表示這將是職業生涯的圓滿結局。塞爾維亞前球王喬科維奇（Novak Djokovic）讚揚納達爾的成就將永垂不朽，西班牙新生代好手艾卡拉茲（Carlos Alcaraz）對此消息感到傷心，稱納達爾一直是他的偶像。納達爾的退休標誌著一個時代的結束，網壇眾多好手紛紛向這位傳奇選手致敬。
美前官員：台韌性委員會強化意志 去風險化是進行式	台灣總統賴清德成立「全社會防衛韌性委員會」，此舉被視為加強台灣自治意志的創新行動。美國前官員唐安竹（Drew Thompson）在Podcast節目中指出，台灣在科技製造和地緣政治緊張局勢的交匯點上，正積極調整政治和經濟政策。賴清德上任後，宣布成立三大委員會，旨在強化國防、災防及民力運用，並確保醫療、能源及基礎設施的安全。台灣企業對東南亞和南亞的投資已超過對中國，顯示「去風險化」的趨勢正在進行中。2024年7月，中央社推出印尼文新聞網站，進一步推動台灣與東南亞的緊密聯繫。	台灣總統賴清德於2024年7月成立「全社會防衛韌性委員會」，此舉被視為加強台灣自治意志的創新行動。美國前官員唐安竹（Drew Thompson）在新加坡南洋理工大學擔任資深研究員，他在Podcast節目中指出，台灣正積極調整政治和經濟政策，以應對科技製造和地緣政治緊張局勢。賴清德總統上任後，宣布成立三大委員會，旨在強化國防、災防及民力運用，並確保醫療、能源及基礎設施的安全。台灣企業對東南亞和南亞的投資已超過對中國，顯示「去風險化」的趨勢正在進行中。中央社於2024年7月推出印尼文新聞網站，進一步推動台灣與東南亞的緊密聯繫。
甘迺迪家族大家長辭世 艾瑟甘迺迪享耆壽96歲	美國已故聯邦參議員羅勃．甘迺迪的遺孀艾瑟．甘迺迪於2024年10月10日辭世，享年96歲。她死於中風併發症，是甘迺迪家族的大家長，生前致力於人權倡導。艾瑟．甘迺迪創立了羅勃．甘迺迪人權組織，並於2014年獲得「總統自由獎章」。她的去世引起家族成員和社會各界的悼念，家族聲明讚揚她畢生追求社會正義和人權。她的兒子小羅勃．甘迺迪曾以獨立總統候選人身分參選，後來支持共和黨總統候選人川普。	美國已故聯邦參議員羅勃·甘迺迪的遺孀艾瑟·甘迺迪於2024年10月10日辭世，享年96歲。她是甘迺迪家族的大家長，生前致力於人權倡導，並創立羅勃·甘迺迪人權組織。艾瑟·甘迺迪死於中風併發症，她的家族成員包括被暗殺的前總統約翰·甘迺迪和聯邦參議員泰德·甘迺迪。她的兒子小羅勃·甘迺迪曾以獨立總統候選人身分參選，後來支持共和黨總統候選人川普。2014年，時任總統歐巴馬授予她「總統自由獎章」。甘迺迪家族聲明讚揚她畢生追求社會正義和人權，並表示她的去世引起家族成員和社會各界的悼念。
穿什麼不是小事 趙武靈王胡服騎射改革因何改變戰國【書摘】	趙武靈王在西元前3世紀推行「胡服騎射」改革，顯著提升趙國軍事實力。此舉源於戰國時期戰爭型態的轉變，趙武靈王意識到河北的戰略劣勢，決定學習北方游牧民族的騎射技術，推動士兵改穿胡人的短衣窄袖和褲子，提升機動性和戰鬥力。改革使趙國在與林胡、樓煩的戰鬥中獲勝，並收復被秦國佔領的土地，對秦國形成地理威脅。趙國在北方設立雲中郡和雁門郡，成為抵禦北方游牧民族的前沿陣地，改變了當時的戰爭格局。	趙武靈王在西元前3世紀推行「胡服騎射」改革，顯著提升趙國軍事實力。此舉源於戰國時期戰爭型態的轉變，趙武靈王意識到趙國在河北的戰略劣勢，遂學習北方游牧民族的騎射技術，推動士兵改穿胡人的短衣窄袖和褲子，提升機動性和戰鬥力。改革使趙國在與林胡、樓煩的戰鬥中獲勝，收復被秦國佔領的土地，並在地理上對秦國形成威脅。趙國在北方設立雲中郡和雁門郡，成為抵禦北方游牧民族的前沿陣地，改變當時戰爭格局。
美主導國防工業韌性夥伴成立 軍備副部長徐衍璞與會	美國主導成立的「印太產業韌性夥伴」（PIPIR）於2024年10月7日至8日在夏威夷檀香山召開首次會議，旨在強化國防產業的韌性。會議由美國五角大廈負責武器採購與維護的副部長拉普蘭特（William LaPlante）主持，與會者包括印太地區與歐洲大西洋地區的軍備主管。台灣國防部軍備副部長徐衍璞也出席，顯示台灣在此聯盟中的參與。五角大廈印太安全事務首席副助理部長羅耶爾（Jedidiah Royal）指出，台灣將在此聯盟中扮演重要角色。目前已有13個國家簽署相關聲明。	美國主導成立的新區域聯盟「印太產業韌性夥伴」（PIPIR）於2024年10月7日至8日在夏威夷檀香山召開首次會議，旨在強化國防產業的韌性。會議由美國五角大廈負責武器採購與維護的副部長拉普蘭特主持，與會者包括印太地區與歐洲大西洋地區的軍備主管。台灣國防部軍備副部長徐衍璞也出席了此次會議。五角大廈印太安全事務首席副助理部長羅耶爾在9月底的美台國防工業會議上指出，台灣將在此聯盟中扮演重要角色。目前已有13個國家簽署了5月發布的聲明。
北約秘書長呂特：烏克蘭可合法打擊俄羅斯境內目標	北大西洋公約組織（NATO）新任秘書長呂特（Mark Rutte）於2024年10月10日在英國表示，烏克蘭在法律上可打擊俄羅斯境內目標，但是否使用西方軍援武器由北約成員國自行決定。呂特強調，若俄羅斯境內目標對烏克蘭構成威脅，烏克蘭可被允許使用西方武器。烏克蘭總統澤倫斯基（Volodymyr Zelenskyy）持續要求放寬武器使用限制。美國對此持保留態度，擔心引發俄羅斯報復。呂特重申，支援烏克蘭對北約集體安全的重要性，並表示不會因美國前總統川普（Donald Trump）可能重返白宮而改變立場。	北大西洋公約組織（NATO）新任秘書長呂特（Mark Rutte）於2024年10月10日在英國表示，烏克蘭在法律上可以打擊俄羅斯境內目標，但是否使用西方軍援武器由北約成員國自行決定。呂特強調，若俄羅斯境內目標對烏克蘭構成威脅，烏克蘭可被允許使用西方武器。烏克蘭總統澤倫斯基（Volodymyr Zelenskyy）持續要求北約成員國放寬對烏克蘭使用軍援武器的限制。美國對此持保留態度，擔心可能引發俄羅斯報復。呂特在與英國首相施凱爾（Keir Starmer）及澤倫斯基的會談中，重申支援烏克蘭對北約集體安全的重要性，並表示不會因美國前總統川普（Donald Trump）可能重返白宮而改變對烏克蘭的支持立場。
阿根廷駐處國慶酒會 眾議員讚賞台灣國際貢獻	阿根廷駐台代表處於2023年10月9日在布宜諾斯艾利斯舉辦中華民國113年國慶酒會，吸引約250名來自阿根廷和烏拉圭的友台團體、政商界人士及僑領參加。駐阿根廷代表處代表謝妙宏在致詞中強調台灣自1949年以來成為自由、民主、現代化國家的成就，並呼籲國際社會關注中國對台灣自由和民主的威脅。阿根廷國會眾議員康巴尼歐里（Marcela Campagnoli）讚賞台灣在科技創新和醫療體系上的卓越表現，並形容台灣為「美麗的珍珠」。謝妙宏指出，阿根廷是台灣農漁產品的重要供應國，預期兩國貿易將持續成長。	阿根廷駐台代表處於2023年10月9日晚間在布宜諾斯艾利斯舉辦中華民國113年國慶酒會，吸引約250名來自阿根廷和烏拉圭的友台團體、政商界人士及僑領參加。駐阿根廷代表處代表謝妙宏在致詞中強調台灣自1949年以來成為自由、民主、現代化國家的成就，並呼籲國際社會關注中國對台灣自由和民主的威脅。阿根廷國會眾議員康巴尼歐里（Marcela Campagnoli）讚賞台灣在科技創新和醫療體系上的卓越表現，並形容台灣為「美麗的珍珠」。謝妙宏指出，阿根廷是台灣農漁產品的重要供應國，預期兩國貿易將持續成長。
台灣男團不敵中國 桌球亞錦賽連3屆摘銀	台灣桌球男團在2024年亞洲桌球錦標賽決賽中，以1比3不敵中國隊，連續三屆獲得銀牌，追平隊史最佳戰績。比賽於9月11日凌晨舉行，由林昀儒率領的台灣隊奮力拼搏。19歲的高承睿首先出戰，面對中國球王王楚欽，最終以0比3落敗。林昀儒在個人單日第4場賽事中，對陣中國小將林詩棟，以1比3告負。台灣隊的黃彥誠則在第三點比賽中，爆冷擊敗世界排名第5的梁靖崑，為台灣隊搶下唯一一點。台灣的兩組混雙組合在16強賽中失利，但仍獲得2025年世錦賽參賽資格。	台灣桌球男團在2024年9月11日的亞洲桌球錦標賽決賽中，以1比3不敵中國隊，連續三屆獲得銀牌，追平隊史最佳戰績。由林昀儒率領的台灣隊，19歲的高承睿首先出戰，面對中國球王王楚欽，最終以0比3落敗。林昀儒在個人單日第4場賽事中，對陣中國小將林詩棟，以1比3告負。台灣隊的黃彥誠則在第三點比賽中，爆冷擊敗世界排名第5的梁靖崑，為台灣隊搶下唯一一點。台灣的兩組混雙組合在16強賽中失利，但仍獲得2025年世錦賽參賽資格。
蔡英文訪歐行將到歐洲議會 創台灣卸任總統首例	卸任總統蔡英文將於下周出訪歐洲，這是她卸任後的首次出訪，並創下台灣卸任元首拜訪歐盟總部的首例。蔡英文將於10月12日應捷克「公元兩千論壇基金會」邀請，出席年度會議並發表演說。此外，她還將到訪比利時布魯塞爾的歐盟總部，會見歐洲議會議員。歐洲議會近年來積極支持台灣民主，蔡英文在任內推動與歐盟洽簽雙邊經貿、投資協定，獲得多次決議支持。此次訪問預期將受到多位對台友好議員的歡迎。	卸任總統蔡英文將於下周出訪歐洲，這是她卸任後的首次出訪，並創下台灣卸任元首拜訪歐盟總部的首例。蔡英文將於2023年10月12日應捷克「公元兩千論壇基金會」邀請，出席年度會議並發表演說。此外，她還將到訪比利時布魯塞爾的歐盟總部，會見歐洲議會議員。歐洲議會近年來積極支持台灣民主，蔡英文在總統任內推動與歐盟洽簽雙邊經貿、投資協定，並獲得多次決議支持。此次訪問預期將受到多位對台友好議員的歡迎。
賴總統雙十演說 美籲北京克制、卜睿哲盼中國正面回應	2024年10月10日，台灣總統賴清德在國慶演說中強調中華人民共和國無權代表台灣，並表達願與中國合作應對全球挑戰的意願。美國國務院呼籲北京不要藉此舉行軍事演習，並希望中國能對賴總統的溫和演說做出正面回應。前AIT理事主席卜睿哲和前白宮官員杜如松均指出，賴總統的演說比其就職演說更為克制，為穩定台海局勢創造了條件。台灣國防部表示，國慶前夕有多架中國軍機和軍艦在台海周邊活動，國慶當天中國進行了運載火箭發射任務。	2024年10月10日，台灣總統賴清德在國慶演說中強調中華人民共和國無權代表台灣，並表達願與中國合作應對全球挑戰的意願。美國國務院呼籲北京不要藉此舉行軍事演習，並希望中國能對賴總統的溫和演說做出正面回應。前AIT理事主席卜睿哲和前白宮官員杜如松指出，賴總統的演說比其就職演說更為克制，認為這為穩定台海局勢創造了條件。台灣國防部表示，國慶前夕有多架中國軍機和軍艦在台海周邊活動，國慶當天中國進行了運載火箭發射任務。
